Credential,Years After Graduation,Field of Study (2-digit CIP code),Field of Study (4-digit CIP code),Median Income,Cohort Size
Diploma,4,51. Health professions and related programs,51.07. Health and medical administrative services,"$64,300 ",50
Diploma,4,51. Health professions and related programs,51.08. Allied health and medical assisting services,"$41,000 ",900
Diploma,4,51. Health professions and related programs,"51.09. Allied health diagnostic, intervention and treatment professions","$80,900 ",1100
Diploma,4,51. Health professions and related programs,51.10. Clinical/medical laboratory science/research and allied professions,"$71,800 ",380
Diploma,4,51. Health professions and related programs,51.15. Mental and social health services and allied professions,"$33,600 ",140
Diploma,4,51. Health professions and related programs,51.18. Ophthalmic and optometric support services and allied professions,"$44,800 ",440
Diploma,4,51. Health professions and related programs,51.23. Rehabilitation and therapeutic professions,"$42,400 ",30
Diploma,4,51. Health professions and related programs,51.33. Alternative and complementary medicine and medical systems,"$34,800 ",80
Diploma,4,51. Health professions and related programs,51.35. Somatic bodywork and related therapeutic services,"$23,400 ",100
Diploma,4,51. Health professions and related programs,"51.38. Registered nursing, nursing administration, nursing research and clinical nursing","$75,900 ",290
Diploma,4,51. Health professions and related programs,"51.39. Practical nursing, vocational nursing and nursing assistants","$44,600 ",2560
Bachelor's degree,4,51. Health professions and related programs,"51.00. Health services/allied health/health sciences, general","$57,000 ",40
Bachelor's degree,4,51. Health professions and related programs,51.06. Dental support services and allied professions,"$78,000 ",120
Bachelor's degree,4,51. Health professions and related programs,51.10. Clinical/medical laboratory science/research and allied professions,"$79,600 ",80
Bachelor's degree,4,51. Health professions and related programs,51.15. Mental and social health services and allied professions,"$52,400 ",100
Bachelor's degree,4,51. Health professions and related programs,51.22. Public health,"$60,900 ",120
Bachelor's degree,4,51. Health professions and related programs,"51.38. Registered nursing, nursing administration, nursing research and clinical nursing","$76,900 ",6390
Professional bachelor's degree,4,51. Health professions and related programs,"51.04. Dentistry (DDS, DMD)","$23,500 ",80
Professional bachelor's degree,4,51. Health professions and related programs,51.12. Medicine (MD),"$66,600 ",270
Professional bachelor's degree,4,51. Health professions and related programs,"51.20. Pharmacy, pharmaceutical sciences and administration","$104,400 ",450
Professional bachelor's degree,4,51. Health professions and related programs,51.24. Veterinary medicine (DVM),"$73,400 ",40
Master's degree,4,51. Health professions and related programs,51.02. Communication disorders sciences and services,"$66,400 ",150
Diploma,5,"16. Aboriginal and foreign languages, literatures and linguistics",16.16. Sign language,,
Diploma,5,19. Family and consumer sciences/human sciences,"19.05. Foods, nutrition and related services",,
Diploma,5,19. Family and consumer sciences/human sciences,19.06. Housing and human environments,,
Master's degree,4,51. Health professions and related programs,"51.14. Medical scientist (MS, MSc, PhD)","$56,400 ",90
Master's degree,4,51. Health professions and related programs,51.22. Public health,"$77,500 ",210
Master's degree,4,51. Health professions and related programs,51.23. Rehabilitation and therapeutic professions,"$72,700 ",530
Master's degree,4,51. Health professions and related programs,"51.38. Registered nursing, nursing administration, nursing research and clinical nursing","$94,600 ",910
Doctoral degree,4,51. Health professions and related programs,"51.14. Medical scientist (MS, MSc, PhD)","$68,600 ",90
Doctoral degree,4,51. Health professions and related programs,51.22. Public health,"$93,000 ",50
Doctoral degree,4,51. Health professions and related programs,"51.38. Registered nursing, nursing administration, nursing research and clinical nursing","$103,200 ",50
Certificate,5,51. Health professions and related programs,51.06. Dental support services and allied professions,"$47,400 ",420
Certificate,5,51. Health professions and related programs,51.07. Health and medical administrative services,"$39,100 ",1550
Certificate,5,51. Health professions and related programs,51.08. Allied health and medical assisting services,"$45,200 ",2710
Certificate,5,51. Health professions and related programs,"51.09. Allied health diagnostic, intervention and treatment professions","$46,600 ",260
Certificate,5,51. Health professions and related programs,51.15. Mental and social health services and allied professions,"$39,000 ",60
Diploma,5,44. Public administration and social service professions,"44.00. Human services, general",,
Diploma,5,44. Public administration and social service professions,44.05. Public policy analysis,,
Diploma,5,44. Public administration and social service professions,44.07. Social work,,
Diploma,5,45. Social sciences,45.07. Geography and cartography,,
Diploma,5,47. Mechanic and repair technologies/technicians,"47.02. Heating, air conditioning, ventilation and refrigeration maintenance technology/technician",,
Certificate,5,51. Health professions and related programs,51.18. Ophthalmic and optometric support services and allied professions,"$58,300 ",100
Diploma,5,47. Mechanic and repair technologies/technicians,47.04. Precision systems maintenance and repair technologies,,
Certificate,5,51. Health professions and related programs,51.26. Health aides/attendants/orderlies,"$37,000 ",3740
Certificate,5,51. Health professions and related programs,"51.38. Registered nursing, nursing administration, nursing research and clinical nursing","$78,200 ",300
Certificate,5,51. Health professions and related programs,"51.39. Practical nursing, vocational nursing and nursing assistants","$56,000 ",50
Diploma,5,51. Health professions and related programs,51.02. Communication disorders sciences and services,"$61,200 ",180
Diploma,5,51. Health professions and related programs,51.06. Dental support services and allied professions,"$48,600 ",170
Diploma,5,51. Health professions and related programs,51.07. Health and medical administrative services,"$63,900 ",50
Diploma,5,51. Health professions and related programs,51.08. Allied health and medical assisting services,"$41,800 ",900
Diploma,5,51. Health professions and related programs,"51.09. Allied health diagnostic, intervention and treatment professions","$81,000 ",1100
Diploma,5,51. Health professions and related programs,51.10. Clinical/medical laboratory science/research and allied professions,"$70,100 ",390
Diploma,5,51. Health professions and related programs,51.15. Mental and social health services and allied professions,"$34,500 ",160
Diploma,5,51. Health professions and related programs,51.18. Ophthalmic and optometric support services and allied professions,"$46,700 ",450
Diploma,5,50. Visual and performing arts,"50.10. Arts, entertainment, and media management",,
Diploma,5,51. Health professions and related programs,51.23. Rehabilitation and therapeutic professions,"$36,500 ",30
Diploma,5,51. Health professions and related programs,51.33. Alternative and complementary medicine and medical systems,"$32,400 ",80
Diploma,5,51. Health professions and related programs,51.35. Somatic bodywork and related therapeutic services,"$26,200 ",90
Diploma,5,51. Health professions and related programs,"51.38. Registered nursing, nursing administration, nursing research and clinical nursing","$76,800 ",280
Diploma,5,51. Health professions and related programs,"51.39. Practical nursing, vocational nursing and nursing assistants","$44,700 ",2590
Bachelor's degree,5,51. Health professions and related programs,"51.00. Health services/allied health/health sciences, general","$57,100 ",50
Bachelor's degree,5,51. Health professions and related programs,51.06. Dental support services and allied professions,"$74,000 ",120
Bachelor's degree,5,51. Health professions and related programs,51.10. Clinical/medical laboratory science/research and allied professions,"$79,300 ",80
Bachelor's degree,5,51. Health professions and related programs,51.15. Mental and social health services and allied professions,"$53,800 ",100
Bachelor's degree,5,51. Health professions and related programs,51.22. Public health,"$60,100 ",120
Bachelor's degree,5,51. Health professions and related programs,"51.38. Registered nursing, nursing administration, nursing research and clinical nursing","$76,200 ",6340
Professional bachelor's degree,5,51. Health professions and related programs,"51.04. Dentistry (DDS, DMD)","$46,200 ",120
Professional bachelor's degree,5,51. Health professions and related programs,51.12. Medicine (MD),"$54,600 ",330
Professional bachelor's degree,5,51. Health professions and related programs,"51.20. Pharmacy, pharmaceutical sciences and administration","$103,100 ",460
Professional bachelor's degree,5,51. Health professions and related programs,51.24. Veterinary medicine (DVM),"$64,600 ",30
Master's degree,5,51. Health professions and related programs,51.02. Communication disorders sciences and services,"$61,200 ",140
Diploma,5,"52. Business, management, marketing and related support services",52.07. Entrepreneurial and small business operations,,
Master's degree,5,51. Health professions and related programs,"51.14. Medical scientist (MS, MSc, PhD)","$60,400 ",90
Master's degree,5,51. Health professions and related programs,51.22. Public health,"$78,400 ",210
Master's degree,5,51. Health professions and related programs,51.23. Rehabilitation and therapeutic professions,"$72,000 ",530
Diploma,5,"52. Business, management, marketing and related support services",52.11. International business/trade/commerce,,
Master's degree,5,51. Health professions and related programs,"51.38. Registered nursing, nursing administration, nursing research and clinical nursing","$93,900 ",890
Doctoral degree,5,51. Health professions and related programs,"51.14. Medical scientist (MS, MSc, PhD)","$66,700 ",80
Doctoral degree,5,51. Health professions and related programs,51.22. Public health,"$96,200 ",30
Diploma,5,"52. Business, management, marketing and related support services","52.18. General sales, merchandising and related marketing operations",,
Doctoral degree,5,51. Health professions and related programs,"51.38. Registered nursing, nursing administration, nursing research and clinical nursing","$102,200 ",60
Certificate,1,"52. Business, management, marketing and related support services","52.02. Business administration, management and operations","$34,400 ",230
Certificate,1,"52. Business, management, marketing and related support services",52.03. Accounting and related services,"$41,000 ",560
Diploma,5,54. History,54.01. History,,
Certificate,1,"52. Business, management, marketing and related support services",52.04. Business operations support and assistant services,"$35,400 ",1350
Certificate,1,"52. Business, management, marketing and related support services",52.08. Finance and financial management services,"$27,900 ",40
Certificate,1,"52. Business, management, marketing and related support services",52.09. Hospitality administration/management,"$27,700 ",50
Certificate,1,"52. Business, management, marketing and related support services",52.10. Human resources management and services,"$47,900 ",300
Bachelor's degree,5,"01. Agriculture, agriculture operations and related sciences",01.10. Food science and technology,,
Bachelor's degree,5,"01. Agriculture, agriculture operations and related sciences",01.11. Plant sciences,,
Certificate,1,"52. Business, management, marketing and related support services",52.14. Marketing,"$32,500 ",20
Certificate,1,"52. Business, management, marketing and related support services","52.19. Specialized sales, merchandising and marketing operations","$30,900 ",90
Bachelor's degree,5,03. Natural resources and conservation,03.05. Forestry,,
Bachelor's degree,5,03. Natural resources and conservation,03.06. Wildlife and wildlands science and management,,
Diploma,1,"52. Business, management, marketing and related support services","52.02. Business administration, management and operations","$39,900 ",1110
Diploma,1,"52. Business, management, marketing and related support services",52.03. Accounting and related services,"$36,700 ",1660
Diploma,1,"52. Business, management, marketing and related support services",52.04. Business operations support and assistant services,"$40,200 ",270
Diploma,1,"52. Business, management, marketing and related support services",52.08. Finance and financial management services,"$38,900 ",470
Diploma,1,"52. Business, management, marketing and related support services",52.09. Hospitality administration/management,"$32,400 ",370
Diploma,1,"52. Business, management, marketing and related support services",52.10. Human resources management and services,"$45,300 ",400
Diploma,1,"52. Business, management, marketing and related support services",52.14. Marketing,"$37,800 ",660
Diploma,1,"52. Business, management, marketing and related support services",52.15. Real estate,"$60,700 ",40
Bachelor's degree,5,11. Computer and information sciences and support services,11.04. Information science/studies,,
Diploma,1,"52. Business, management, marketing and related support services",52.17. Insurance,"$50,100 ",100
Bachelor's degree,5,11. Computer and information sciences and support services,11.10. Computer/information technology administration and management,,
Diploma,1,"52. Business, management, marketing and related support services","52.19. Specialized sales, merchandising and marketing operations","$32,500 ",230
Diploma,1,"52. Business, management, marketing and related support services",52.20. Construction management,"$56,400 ",110
Bachelor's degree,5,13. Education,13.04. Educational administration and supervision,,
Bachelor's degree,5,13. Education,13.05. Educational/instructional media design,,
Diploma,1,"52. Business, management, marketing and related support services","52.99. Business, management, marketing and related support services, other","$43,300 ",110
Bachelor's degree,1,"52. Business, management, marketing and related support services","52.01. Business/commerce, general","$50,900 ",2280
Bachelor's degree,1,"52. Business, management, marketing and related support services","52.02. Business administration, management and operations","$50,600 ",2570
Bachelor's degree,5,14. Engineering,"14.01. Engineering, general",,
Bachelor's degree,1,"52. Business, management, marketing and related support services",52.03. Accounting and related services,"$49,800 ",2660
Bachelor's degree,1,"52. Business, management, marketing and related support services",52.06. Business/managerial economics,"$44,500 ",160
Bachelor's degree,1,"52. Business, management, marketing and related support services",52.08. Finance and financial management services,"$52,000 ",780
Bachelor's degree,1,"52. Business, management, marketing and related support services",52.09. Hospitality administration/management,"$36,400 ",50
Bachelor's degree,1,"52. Business, management, marketing and related support services",52.10. Human resources management and services,"$53,400 ",720
Bachelor's degree,1,"52. Business, management, marketing and related support services",52.11. International business/trade/commerce,"$51,000 ",400
Bachelor's degree,1,"52. Business, management, marketing and related support services",52.12. Management information systems and services,"$54,700 ",60
Bachelor's degree,1,"52. Business, management, marketing and related support services",52.13. Management sciences and quantitative methods,"$47,800 ",110
Bachelor's degree,1,"52. Business, management, marketing and related support services",52.14. Marketing,"$45,900 ",670
Master's degree,1,"52. Business, management, marketing and related support services","52.02. Business administration, management and operations","$109,000 ",1560
Master's degree,1,"52. Business, management, marketing and related support services",52.12. Management information systems and services,"$80,400 ",50
Bachelor's degree,5,14. Engineering,14.36. Manufacturing engineering,,
Certificate,2,"52. Business, management, marketing and related support services","52.02. Business administration, management and operations","$39,600 ",250
Bachelor's degree,5,15. Engineering technologies and engineering-related fields,"15.00. Engineering technology, general",,
Bachelor's degree,5,15. Engineering technologies and engineering-related fields,15.04. Electromechanical and instrumentation and maintenance technologies/technicians,,
Bachelor's degree,5,15. Engineering technologies and engineering-related fields,15.09. Mining and petroleum technologies/technicians,,
Certificate,2,"52. Business, management, marketing and related support services",52.03. Accounting and related services,"$43,200 ",550
Certificate,2,"52. Business, management, marketing and related support services",52.04. Business operations support and assistant services,"$37,300 ",1340
Certificate,2,"52. Business, management, marketing and related support services",52.08. Finance and financial management services,"$31,500 ",50
Bachelor's degree,5,"16. Aboriginal and foreign languages, literatures and linguistics","16.04. Slavic, Baltic and Albanian languages, literatures and linguistics",,
Bachelor's degree,5,"16. Aboriginal and foreign languages, literatures and linguistics","16.05. Germanic languages, literatures and linguistics",,
Certificate,2,"52. Business, management, marketing and related support services",52.09. Hospitality administration/management,"$33,200 ",50
Bachelor's degree,5,"16. Aboriginal and foreign languages, literatures and linguistics","16.12. Classics and classical languages, literatures and linguistics",,
Bachelor's degree,5,19. Family and consumer sciences/human sciences,"19.01. Family and consumer sciences/human sciences, general",,
Certificate,2,"52. Business, management, marketing and related support services",52.10. Human resources management and services,"$53,800 ",290
Certificate,2,"52. Business, management, marketing and related support services",52.14. Marketing,"$33,400 ",30
Bachelor's degree,5,19. Family and consumer sciences/human sciences,19.09. Apparel and textiles,,
Certificate,2,"52. Business, management, marketing and related support services","52.19. Specialized sales, merchandising and marketing operations","$33,600 ",90
Diploma,2,"52. Business, management, marketing and related support services","52.02. Business administration, management and operations","$44,200 ",1130
Diploma,2,"52. Business, management, marketing and related support services",52.03. Accounting and related services,"$39,700 ",1740
Diploma,2,"52. Business, management, marketing and related support services",52.04. Business operations support and assistant services,"$42,500 ",290
Diploma,2,"52. Business, management, marketing and related support services",52.08. Finance and financial management services,"$42,000 ",470
Diploma,2,"52. Business, management, marketing and related support services",52.09. Hospitality administration/management,"$36,300 ",370
Bachelor's degree,5,26. Biological and biomedical sciences,26.03. Botany/plant biology,,
Diploma,2,"52. Business, management, marketing and related support services",52.10. Human resources management and services,"$48,800 ",420
Diploma,2,"52. Business, management, marketing and related support services",52.14. Marketing,"$42,600 ",680
Diploma,2,"52. Business, management, marketing and related support services",52.15. Real estate,"$64,600 ",40
Diploma,2,"52. Business, management, marketing and related support services",52.17. Insurance,"$53,200 ",100
Diploma,2,"52. Business, management, marketing and related support services","52.19. Specialized sales, merchandising and marketing operations","$36,000 ",220
Bachelor's degree,5,26. Biological and biomedical sciences,26.10. Pharmacology and toxicology,,
Bachelor's degree,5,26. Biological and biomedical sciences,"26.11. Biomathematics, bioinformatics, and computational biology",,
Bachelor's degree,5,26. Biological and biomedical sciences,26.12. Biotechnology,,
Diploma,2,"52. Business, management, marketing and related support services",52.20. Construction management,"$65,000 ",110
Diploma,2,"52. Business, management, marketing and related support services","52.99. Business, management, marketing and related support services, other","$54,300 ",100
Bachelor's degree,2,"52. Business, management, marketing and related support services","52.01. Business/commerce, general","$58,800 ",2150
Bachelor's degree,5,27. Mathematics and statistics,27.03. Applied mathematics,,
Bachelor's degree,5,27. Mathematics and statistics,27.05. Statistics,,
Bachelor's degree,5,30. Multidisciplinary/interdisciplinary studies,"30.15. Science, technology and society",,
Bachelor's degree,2,"52. Business, management, marketing and related support services","52.02. Business administration, management and operations","$55,700 ",2410
Bachelor's degree,2,"52. Business, management, marketing and related support services",52.03. Accounting and related services,"$57,500 ",2650
Bachelor's degree,2,"52. Business, management, marketing and related support services",52.06. Business/managerial economics,"$52,100 ",160
Bachelor's degree,5,30. Multidisciplinary/interdisciplinary studies,30.20. International/global studies,,
Bachelor's degree,5,30. Multidisciplinary/interdisciplinary studies,30.22. Classical and ancient studies,,
Bachelor's degree,2,"52. Business, management, marketing and related support services",52.07. Entrepreneurial and small business operations,"$51,900 ",60
Bachelor's degree,5,"31. Parks, recreation, leisure and fitness studies","31.01. Parks, recreation and leisure studies",,
Bachelor's degree,5,"31. Parks, recreation, leisure and fitness studies","31.03. Parks, recreation and leisure facilities management",,
Bachelor's degree,2,"52. Business, management, marketing and related support services",52.08. Finance and financial management services,"$59,900 ",810
Bachelor's degree,2,"52. Business, management, marketing and related support services",52.10. Human resources management and services,"$60,500 ",690
Bachelor's degree,5,38. Philosophy and religious studies,38.02. Religion/religious studies,,
Bachelor's degree,5,38. Philosophy and religious studies,"38.99. Philosophy and religious studies, other",,
Bachelor's degree,5,39. Theology and religious vocations,39.02. Bible/Biblical studies,,
Bachelor's degree,5,39. Theology and religious vocations,39.06. Theological and ministerial studies,,
Bachelor's degree,5,39. Theology and religious vocations,"39.99. Theology and religious vocations, other",,
Bachelor's degree,2,"52. Business, management, marketing and related support services",52.11. International business/trade/commerce,"$56,800 ",380
Bachelor's degree,5,40. Physical sciences,40.02. Astronomy and astrophysics,,
Bachelor's degree,5,40. Physical sciences,40.04. Atmospheric sciences and meteorology,,
Bachelor's degree,2,"52. Business, management, marketing and related support services",52.12. Management information systems and services,"$61,300 ",60
Bachelor's degree,2,"52. Business, management, marketing and related support services",52.13. Management sciences and quantitative methods,"$55,000 ",90
Bachelor's degree,2,"52. Business, management, marketing and related support services",52.14. Marketing,"$51,000 ",680
Master's degree,2,"52. Business, management, marketing and related support services","52.02. Business administration, management and operations","$113,900 ",1530
Master's degree,2,"52. Business, management, marketing and related support services",52.10. Human resources management and services,"$84,900 ",60
Certificate,3,"52. Business, management, marketing and related support services","52.02. Business administration, management and operations","$40,600 ",250
Certificate,3,"52. Business, management, marketing and related support services",52.03. Accounting and related services,"$46,800 ",570
Certificate,3,"52. Business, management, marketing and related support services",52.04. Business operations support and assistant services,"$37,800 ",1320
Bachelor's degree,5,44. Public administration and social service professions,44.04. Public administration,,
Bachelor's degree,5,44. Public administration and social service professions,44.05. Public policy analysis,,
Certificate,3,"52. Business, management, marketing and related support services",52.08. Finance and financial management services,"$32,400 ",50
Certificate,3,"52. Business, management, marketing and related support services",52.09. Hospitality administration/management,"$33,400 ",50
Certificate,3,"52. Business, management, marketing and related support services",52.10. Human resources management and services,"$52,500 ",270
Certificate,3,"52. Business, management, marketing and related support services",52.14. Marketing,"$29,200 ",30
Certificate,3,"52. Business, management, marketing and related support services","52.19. Specialized sales, merchandising and marketing operations","$36,200 ",90
Diploma,3,"52. Business, management, marketing and related support services","52.02. Business administration, management and operations","$45,300 ",1150
Diploma,3,"52. Business, management, marketing and related support services",52.03. Accounting and related services,"$41,400 ",1790
Diploma,3,"52. Business, management, marketing and related support services",52.04. Business operations support and assistant services,"$45,000 ",270
Diploma,3,"52. Business, management, marketing and related support services",52.08. Finance and financial management services,"$46,300 ",480
Diploma,3,"52. Business, management, marketing and related support services",52.09. Hospitality administration/management,"$35,600 ",380
Diploma,3,"52. Business, management, marketing and related support services",52.10. Human resources management and services,"$51,000 ",420
Diploma,3,"52. Business, management, marketing and related support services",52.14. Marketing,"$46,100 ",690
Diploma,3,"52. Business, management, marketing and related support services",52.15. Real estate,"$66,200 ",30
Diploma,3,"52. Business, management, marketing and related support services",52.17. Insurance,"$56,200 ",100
Diploma,3,"52. Business, management, marketing and related support services","52.19. Specialized sales, merchandising and marketing operations","$37,500 ",210
Diploma,3,"52. Business, management, marketing and related support services",52.20. Construction management,"$68,800 ",110
Diploma,3,"52. Business, management, marketing and related support services","52.99. Business, management, marketing and related support services, other","$52,600 ",110
Bachelor's degree,3,"52. Business, management, marketing and related support services","52.01. Business/commerce, general","$66,900 ",2210
Bachelor's degree,3,"52. Business, management, marketing and related support services","52.02. Business administration, management and operations","$58,400 ",2360
Bachelor's degree,3,"52. Business, management, marketing and related support services",52.03. Accounting and related services,"$65,800 ",2750
Bachelor's degree,5,51. Health professions and related programs,51.07. Health and medical administrative services,,
Bachelor's degree,5,51. Health professions and related programs,"51.09. Allied health diagnostic, intervention and treatment professions",,
Bachelor's degree,3,"52. Business, management, marketing and related support services",52.06. Business/managerial economics,"$55,800 ",150
Bachelor's degree,3,"52. Business, management, marketing and related support services",52.07. Entrepreneurial and small business operations,"$53,800 ",60
Bachelor's degree,3,"52. Business, management, marketing and related support services",52.08. Finance and financial management services,"$66,400 ",800
Bachelor's degree,5,51. Health professions and related programs,51.23. Rehabilitation and therapeutic professions,,
Bachelor's degree,3,"52. Business, management, marketing and related support services",52.09. Hospitality administration/management,"$46,600 ",50
Bachelor's degree,5,51. Health professions and related programs,"51.99. Health professions and related clinical sciences, other",,
Bachelor's degree,3,"52. Business, management, marketing and related support services",52.10. Human resources management and services,"$62,900 ",660
Bachelor's degree,3,"52. Business, management, marketing and related support services",52.11. International business/trade/commerce,"$60,000 ",370
Bachelor's degree,3,"52. Business, management, marketing and related support services",52.13. Management sciences and quantitative methods,"$60,600 ",110
Bachelor's degree,3,"52. Business, management, marketing and related support services",52.14. Marketing,"$56,800 ",650
Bachelor's degree,5,"52. Business, management, marketing and related support services",52.07. Entrepreneurial and small business operations,,
Master's degree,3,"52. Business, management, marketing and related support services","52.02. Business administration, management and operations","$114,500 ",1530
Master's degree,3,"52. Business, management, marketing and related support services",52.10. Human resources management and services,"$79,600 ",60
Certificate,4,"52. Business, management, marketing and related support services","52.02. Business administration, management and operations","$42,400 ",240
Certificate,4,"52. Business, management, marketing and related support services",52.03. Accounting and related services,"$48,000 ",540
Certificate,4,"52. Business, management, marketing and related support services",52.04. Business operations support and assistant services,"$38,000 ",1320
Certificate,4,"52. Business, management, marketing and related support services",52.08. Finance and financial management services,"$33,500 ",50
Certificate,4,"52. Business, management, marketing and related support services",52.09. Hospitality administration/management,"$34,300 ",50
Bachelor's degree,5,"52. Business, management, marketing and related support services","52.18. General sales, merchandising and related marketing operations",,
Bachelor's degree,5,"52. Business, management, marketing and related support services","52.19. Specialized sales, merchandising and marketing operations",,
Certificate,4,"52. Business, management, marketing and related support services",52.10. Human resources management and services,"$51,000 ",270
Certificate,4,"52. Business, management, marketing and related support services",52.14. Marketing,"$33,700 ",30
Certificate,4,"52. Business, management, marketing and related support services","52.19. Specialized sales, merchandising and marketing operations","$35,900 ",90
Diploma,4,"52. Business, management, marketing and related support services","52.02. Business administration, management and operations","$46,100 ",1160
Diploma,4,"52. Business, management, marketing and related support services",52.03. Accounting and related services,"$42,800 ",1720
Diploma,4,"52. Business, management, marketing and related support services",52.04. Business operations support and assistant services,"$45,400 ",260
Diploma,4,"52. Business, management, marketing and related support services",52.08. Finance and financial management services,"$49,000 ",480
Diploma,4,"52. Business, management, marketing and related support services",52.09. Hospitality administration/management,"$39,200 ",400
Diploma,4,"52. Business, management, marketing and related support services",52.10. Human resources management and services,"$52,000 ",410
Diploma,4,"52. Business, management, marketing and related support services",52.14. Marketing,"$48,100 ",690
Diploma,4,"52. Business, management, marketing and related support services",52.15. Real estate,"$68,800 ",30
Diploma,4,"52. Business, management, marketing and related support services",52.17. Insurance,"$56,300 ",100
Diploma,4,"52. Business, management, marketing and related support services","52.19. Specialized sales, merchandising and marketing operations","$37,700 ",200
Master's degree,5,"05. Area, ethnic, cultural, gender, and group studies",05.01. Area studies,,
Master's degree,5,"05. Area, ethnic, cultural, gender, and group studies","05.02. Ethnic, cultural minority, gender, and group studies",,
Master's degree,5,"05. Area, ethnic, cultural, gender, and group studies","05.99. Area, ethnic, cultural, gender, and group studies, other",,
Diploma,4,"52. Business, management, marketing and related support services",52.20. Construction management,"$67,500 ",110
Diploma,4,"52. Business, management, marketing and related support services","52.99. Business, management, marketing and related support services, other","$59,700 ",100
Master's degree,5,11. Computer and information sciences and support services,11.04. Information science/studies,,
Bachelor's degree,4,"52. Business, management, marketing and related support services","52.01. Business/commerce, general","$72,900 ",2210
Master's degree,5,11. Computer and information sciences and support services,11.10. Computer/information technology administration and management,,
Bachelor's degree,4,"52. Business, management, marketing and related support services","52.02. Business administration, management and operations","$60,600 ",2330
Bachelor's degree,4,"52. Business, management, marketing and related support services",52.03. Accounting and related services,"$69,900 ",2770
Bachelor's degree,4,"52. Business, management, marketing and related support services",52.06. Business/managerial economics,"$59,600 ",160
Bachelor's degree,4,"52. Business, management, marketing and related support services",52.08. Finance and financial management services,"$71,300 ",800
Master's degree,5,13. Education,13.09. Social and philosophical foundations of education,,
Bachelor's degree,4,"52. Business, management, marketing and related support services",52.09. Hospitality administration/management,"$53,200 ",50
Master's degree,5,13. Education,"13.13. Teacher education and professional development, specific subject areas",,
Master's degree,5,14. Engineering,14.05. Bioengineering and biomedical engineering,,
Bachelor's degree,4,"52. Business, management, marketing and related support services",52.10. Human resources management and services,"$66,000 ",660
Bachelor's degree,4,"52. Business, management, marketing and related support services",52.11. International business/trade/commerce,"$60,300 ",360
Bachelor's degree,4,"52. Business, management, marketing and related support services",52.12. Management information systems and services,"$63,000 ",60
Bachelor's degree,4,"52. Business, management, marketing and related support services",52.13. Management sciences and quantitative methods,"$65,200 ",90
Bachelor's degree,4,"52. Business, management, marketing and related support services",52.14. Marketing,"$60,100 ",650
Master's degree,5,14. Engineering,14.38. Surveying engineering,,
Master's degree,4,"52. Business, management, marketing and related support services","52.02. Business administration, management and operations","$115,800 ",1530
Master's degree,5,19. Family and consumer sciences/human sciences,"19.07. Human development, family studies and related services",,
Master's degree,4,"52. Business, management, marketing and related support services",52.10. Human resources management and services,"$88,200 ",60
Certificate,5,"52. Business, management, marketing and related support services","52.02. Business administration, management and operations","$42,700 ",290
Certificate,5,"52. Business, management, marketing and related support services",52.03. Accounting and related services,"$48,600 ",570
Certificate,5,"52. Business, management, marketing and related support services",52.04. Business operations support and assistant services,"$38,300 ",1350
Certificate,5,"52. Business, management, marketing and related support services",52.08. Finance and financial management services,"$40,000 ",40
Master's degree,5,26. Biological and biomedical sciences,26.04. Cell/cellular biology and anatomical sciences,,
Master's degree,5,26. Biological and biomedical sciences,26.05. Microbiological sciences and immunology,,
Master's degree,5,26. Biological and biomedical sciences,"26.09. Physiology, pathology and related sciences",,
Certificate,5,"52. Business, management, marketing and related support services",52.09. Hospitality administration/management,"$35,600 ",50
Certificate,5,"52. Business, management, marketing and related support services",52.10. Human resources management and services,"$48,700 ",270
Master's degree,5,27. Mathematics and statistics,27.01. Mathematics,,
Master's degree,5,27. Mathematics and statistics,27.05. Statistics,,
Master's degree,5,"28. Military science, leadership and operational art","28.08. Military science, leadership and operational artCAN",,
Master's degree,5,30. Multidisciplinary/interdisciplinary studies,30.20. International/global studies,,
Master's degree,5,30. Multidisciplinary/interdisciplinary studies,30.22. Classical and ancient studies,,
Master's degree,5,30. Multidisciplinary/interdisciplinary studies,"30.99. Multidisciplinary/interdisciplinary studies, other",,
Certificate,5,"52. Business, management, marketing and related support services",52.14. Marketing,"$35,800 ",30
Master's degree,5,38. Philosophy and religious studies,"38.01. Philosophy, logic and ethics",,
Master's degree,5,38. Philosophy and religious studies,38.02. Religion/religious studies,,
Master's degree,5,39. Theology and religious vocations,39.02. Bible/Biblical studies,,
Master's degree,5,40. Physical sciences,40.02. Astronomy and astrophysics,,
Certificate,5,"52. Business, management, marketing and related support services","52.19. Specialized sales, merchandising and marketing operations","$34,700 ",90
Diploma,5,"52. Business, management, marketing and related support services","52.02. Business administration, management and operations","$48,000 ",1240
Master's degree,5,40. Physical sciences,40.08. Physics,,
Diploma,5,"52. Business, management, marketing and related support services",52.03. Accounting and related services,"$43,600 ",1930
Diploma,5,"52. Business, management, marketing and related support services",52.04. Business operations support and assistant services,"$41,800 ",270
Master's degree,5,44. Public administration and social service professions,"44.00. Human services, general",,
Master's degree,5,44. Public administration and social service professions,44.02. Community organization and advocacy,,
Master's degree,5,44. Public administration and social service professions,44.05. Public policy analysis,,
Diploma,5,"52. Business, management, marketing and related support services",52.08. Finance and financial management services,"$50,600 ",510
Diploma,5,"52. Business, management, marketing and related support services",52.09. Hospitality administration/management,"$38,900 ",430
